date,bist100_close,return_bist,return_bist_lag1,abs_return_bist,real_return_bist,goldstein_a1,event_count_a1,event_count_a1_c,tone_a1,source_count_a1,mentions_a1,articles_a1,goldstein_a2,event_count_a2,event_count_a2_c,tone_a2,source_count_a2,mentions_a2,articles_a2,vix_close,return_vix,usdtry_close,return_usdtry,cpi_daily_interp,daily_inflation_log
2020-03-06,1096.0050048828125,-0.020004674083639658,0.009251614882260294,0.020004674083639658,-0.020279962203097485,0.4398442056152628,5111,3276.3706377858,-3.6976290135951535,5460,24006,23741,0.5991091069071712,3857,2541.384476534296,-3.544205760593103,4222,18184,17978,41.93999862670898,0.05690597841817737,6.102530002593994,0.0037316178083962592,14.174316419354838,0.00027528811945782763
2020-03-09,1035.239990234375,-0.057038480553162324,-0.020004674083639658,0.057038480553162324,-0.057313541509578535,0.7893412253750225,8533,6698.3706377858,-3.587200967581274,9195,44264,43690,0.8689182789879583,6120,4804.3844765342965,-3.5313762036000287,6581,29564,29207,54.459999084472656,0.2612264777050175,6.121079921722412,0.0030350990391799014,14.186020870967742,0.0002750609564162126
2020-03-10,1010.625,-0.024064323111917266,-0.057038480553162324,0.024064323111917266,-0.024339308430608355,1.2749535265172225,3532,1697.3706377858002,-2.6226590709496564,3745,18290,18075,1.3706217866323904,2539,1223.384476534296,-2.647828722548181,2762,12448,12341,47.29999923706055,-0.14095619106651924,6.157400131225586,0.0059160930800734556,14.18992235483871,0.0002749853186910903
2020-03-11,1009.6630249023438,-0.0009523148763942256,-0.024064323111917266,0.0009523148763942256,-0.0012272245989470903,0.7990672022877374,2930,1095.3706377858002,-2.91962011576659,3059,14687,14516,0.963267223382046,2063,747.384476534296,-2.9339575059585865,2155,9580,9478,53.900001525878906,0.13062022685630376,6.170619964599609,0.0021446815203888946,14.193823838709678,0.00027490972255286465
2020-03-12,936.39501953125,-0.07533449859302156,-0.0009523148763942256,0.07533449859302156,-0.07560933276098893,0.5663227260903495,2277,442.3706377858002,-3.2668234115452446,2372,11533,11399,1.0680115273775217,1429,113.38447653429603,-3.2951499811240836,1497,6940,6884,75.47000122070312,0.33660473624706455,6.211100101470947,0.006538716895870631,14.197725322580645,0.00027483416796735964
2020-03-13,956.052001953125,0.020774890058529682,-0.07533449859302156,0.020774890058529682,0.020500131403629062,0.8359712230215828,1785,-49.62936221419977,-2.7114056452643958,1940,9591,9394,1.0820241199478486,1127,-188.61552346570397,-2.5950193813574582,1242,6136,6063,57.83000183105469,-0.2662275386386179,6.316199779510498,0.016779696343126198,14.201626806451612,0.0002747586549006212
2020-03-16,878.8829956054688,-0.08416052889685154,0.020774890058529682,0.08416052889685154,-0.08443506126132122,0.46169296242474556,3592,1757.3706377858002,-3.2653220575468374,3813,19268,19018,1.136455496002109,2289,973.384476534296,-3.051880657076534,2371,11381,11260,82.69000244140625,0.35759100142604205,6.282869815826416,-0.0052908734543071975,14.213331258064516,0.00027453236446969067
2020-03-17,867.7769775390625,-0.012717034696640829,-0.08416052889685154,0.012717034696640829,-0.012991491713776199,0.7059390621280649,1569,-265.6293622141998,-3.228623194727505,1702,8402,8228,0.9433202997719126,1262,-53.61552346570397,-3.649810880890326,1348,6138,6022,75.91000366210938,-0.08555022898742644,6.429299831390381,0.023038788261091007,14.217232741935485,0.0002744570171353697
2020-03-18,855.7659912109375,-0.01393777931251769,-0.012717034696640829,0.01393777931251769,-0.014212161023666625,0.10937303417907308,1611,-223.62936221419977,-3.377906499127828,1728,9538,9397,0.6332650972364381,1092,-223.61552346570397,-3.3410909896931096,1146,5862,5770,76.44999694824219,0.0070884161852661845,6.399700164794922,-0.004614501384039358,14.221134225806452,0.0002743817111489348
2020-03-19,851.9539794921875,-0.004464453324535696,-0.01393777931251769,0.004464453324535696,-0.004738759771011906,0.4444751000137951,1310,-524.6293622141998,-3.4295589172260783,1367,7249,7072,-0.1067144719687092,905,-410.615523465704,-3.3816354026885094,939,4602,4558,72.0,-0.05997077344066582,6.47189998626709,0.011218586323229708,14.22503570967742,0.00027430644647620983
2020-03-20,857.9580078125,0.007022645656853923,-0.004464453324535696,0.007022645656853923,0.00674841443377046,0.0149179046129789,1056,-778.6293622141998,-3.790570071271621,1111,6395,6246,0.121333633701284,782,-533.615523465704,-3.3304852507139464,844,4439,4321,66.04000091552734,-0.08640548610090365,6.541319847106934,0.010669230251547646,14.228937193548388,0.00027423122308346256
2020-03-23,842.4619750976562,-0.018226628554064348,0.007022645656853923,0.018226628554064348,-0.018500634354309226,-0.17684597393919146,2431,596.3706377858002,-3.111953190351165,2589,14965,14608,0.9003957783641161,1569,253.38447653429603,-2.9962863896681298,1656,8338,8197,61.59000015258789,-0.06976111073872138,6.557209968566895,0.0024262462243571283,14.24064164516129,0.000274005800244879
2020-03-24,892.8619995117188,0.05810350532073626,-0.018226628554064348,0.05810350532073626,0.05782957457910376,0.4775988286969254,1025,-809.6293622141998,-2.8542499357060707,1077,6147,6024,0.8912953367875646,746,-569.615523465704,-3.407203232877066,768,3860,3778,61.66999816894531,0.001298037135797007,6.54670000076294,-0.001604096805026456,14.244543129032259,0.00027393074163250045
2020-03-25,890.6300048828125,-0.002502950154695286,0.05810350532073626,0.002502950154695286,-0.0027768058788253925,-0.422099372099372,1373,-461.6293622141998,-4.615477919781012,1474,7326,7215,-0.1527788884446221,934,-381.615523465704,-4.146534117322875,1065,5002,4965,63.95000076293945,0.036303980642873955,6.436299800872803,-0.017007296102851052,14.248444612903226,0.0002738557241301065
2020-03-26,915.2760009765624,0.027296577243972574,-0.002502950154695286,0.027296577243972574,0.02702279649626772,0.3783239460658814,1038,-796.6293622141998,-3.812773928060102,1083,5859,5710,0.5966014138118542,698,-617.615523465704,-4.203734111830901,720,3678,3538,61.0,-0.04722767578178987,6.418600082397461,-0.0027537716856906548,14.252346096774193,0.00027378074770485284
2020-03-27,881.25,-0.03788430607626396,0.027296577243972574,0.03788430607626396,-0.03815801188858652,0.207434424957318,1091,-743.6293622141998,-3.136146534750999,1141,6443,6304,0.7004519433564325,637,-678.615523465704,-3.1524660309981334,666,3319,3283,65.54000091552734,0.07178679306634327,6.399799823760986,-0.0029333258838106983,14.256247580645162,0.00027370581232256307
2020-03-30,880.594970703125,-0.0007435720372082843,-0.03788430607626396,0.0007435720372082843,-0.0010170532893044387,0.07273343884241468,2232,397.3706377858002,-3.20972780803839,2331,13269,13045,0.5979957805907171,1430,114.38447653429603,-3.163222570825995,1469,7584,7488,57.08000183105469,-0.13820683255227567,6.459799766540527,0.009331609083440839,14.267952032258064,0.00027348125209615445
2020-03-31,896.43701171875,0.017830248274223377,-0.0007435720372082843,0.017830248274223377,0.017556841793674092,1.1315728211843443,1167,-667.6293622141998,-3.0484921384554795,1221,6873,6734,1.4145100796999532,749,-566.615523465704,-2.873331585398151,788,4266,4177,53.540000915527344,-0.06402476949529684,6.565040111541748,0.016160296220874643,14.271853516129033,0.00027340648054928517
2020-04-01,890.8510131835938,-0.006250829911835786,0.017830248274223377,0.006250829911835786,-0.006524161661712726,1.962057481189096,1352,-482.6293622141998,-2.081835440309208,1428,8107,7922,1.39574062301335,863,-452.615523465704,-2.062087368368496,905,4719,4580,57.060001373291016,0.0636743146607622,6.612989902496338,0.0072772641306832,14.275755,0.00027333174987694014
2020-04-02,895.1090087890625,0.004768307936159496,-0.006250829911835786,0.004768307936159496,0.004314361444823036,0.6856352787076117,1177,-657.6293622141998,-2.568482650949944,1236,6871,6622,1.156747049769112,755,-560.615523465704,-2.2747368716423293,775,3898,3845,50.90999984741211,-0.11404400493580827,6.707300186157227,0.014160631484772307,14.282236900000001,0.00045394649133645996
2020-04-03,895.5260009765625,0.0004657478411443378,0.004768307936159496,0.0004657478411443378,1.2007323727419297e-05,0.6577171572146446,1151,-683.6293622141998,-2.9443002193249845,1215,6965,6816,1.112815639424382,729,-586.615523465704,-2.9812242806848,747,3683,3657,46.79999923706055,-0.08417617829556022,6.632299900054932,-0.011244876295269669,14.2887188,0.0004537405174169185
2020-04-06,920.7109985351562,0.027734939833778987,0.0004657478411443378,0.027734939833778987,0.027281816118140133,0.4291746369110874,2151,316.3706377858002,-2.548247394072203,2246,14115,13425,0.6207205982324948,1350,34.38447653429603,-2.59414555409504,1390,7355,6997,45.2400016784668,-0.03390149827216874,6.739999771118164,0.016108254001856677,14.3081645,0.0004531237156388549
2020-04-07,923.8179931640624,0.003368879081237053,0.027734939833778987,0.003368879081237053,0.0029159605937096995,0.397983794987752,879,-955.6293622141998,-2.8468372696025046,907,5307,5223,0.6604309500489715,540,-775.615523465704,-2.577857835884182,557,3063,3041,46.70000076293945,0.031762492662577586,6.765699863433838,0.003805818881160235,14.3146464,0.00045291848752735363
2020-04-08,932.2520141601562,0.009088104449123037,0.003368879081237053,0.009088104449123037,0.008635391003888205,0.9433859223300972,1028,-806.6293622141998,-1.9073757865146703,1103,6592,6410,1.1627400103788272,683,-632.615523465704,-1.6898512359761135,733,3854,3778,43.34999847412109,-0.0744375129843867,6.757689952850342,-0.0011846011434988092,14.3211283,0.00045271344523483217
