date,weighted_goldstein,event_count,avg_tone,source_count,total_mentions,total_articles
2022-08-19,1.853593984962407,2189,-1.8937474991257686,2269,9975,9709
2022-08-20,1.0061258977608787,886,-1.7123331074806736,931,4734,4609
2022-08-21,0.20682443588332414,702,-1.7586029562361192,722,3634,3560
2022-08-22,1.4407840316489842,1016,-1.4183043811033553,1046,5561,5465
2022-08-23,0.8818571985953956,1561,-1.0216697438542695,1632,7689,7559
2022-08-24,1.025584975369458,1244,-0.8411222045880601,1282,6496,6349
2022-08-25,0.5765527616591446,832,-1.4841120786790833,856,4653,4537
2022-08-26,0.9491897622292894,1284,-1.3956961558192267,1344,6603,6381
2022-08-27,0.3565884044082413,707,-1.8762075283591393,741,4174,3992
2022-08-28,0.24924858339492487,748,-2.9721234016550957,763,4059,3988
2022-08-29,0.7905546288573813,884,-2.194202113112541,900,4796,4722
2022-08-30,1.3594547224926974,928,-1.4830309942186375,948,5135,5055
2022-08-31,0.5428070898598516,892,-1.8660376329074164,922,4852,4737
2022-09-01,1.0191211146838155,830,-1.4950081431580624,846,4665,4466
2022-09-02,1.227787178040985,984,-1.2257722118002086,996,5319,5113
2022-09-03,1.0262878913367568,1281,-1.7988765616548965,1328,6037,5914
2022-09-04,0.5941108007448788,823,-2.0269908512584496,853,4296,4248
2022-09-05,0.9687704248366011,969,-2.179833209873021,1002,4896,4844
2022-09-06,1.1126222355950053,1320,-1.6430610473717782,1356,6647,6533
2022-09-07,1.2854272025552307,1514,-1.5134206023529768,1545,7514,7371
2022-09-08,1.241340691446194,1191,-1.1988087266910832,1230,6161,5967
2022-09-09,0.7430859307732045,1092,-1.5644616117570584,1112,5807,5680
2022-09-10,0.9987106017191971,517,-1.3983125538765013,526,2792,2692
2022-09-11,0.08984757757212804,750,-2.8653297093660433,769,3674,3538
2022-09-12,0.4384011420413996,1101,-2.1829516634928687,1126,5604,5540
2022-09-13,0.9039067422810335,1318,-2.858205008199274,1356,6348,6222
2022-09-14,1.1994054696789525,1122,-2.719129036927337,1167,5887,5773
2022-09-15,1.1642248722316866,1137,-2.0123087131987214,1169,5870,5607
2022-09-16,1.5735465116279048,1331,-1.1550333500866374,1375,6536,6369
