role,timing,tau,event_count_percentile,event_count_raw,event_count_centered,marginal_effect_raw,std_error_raw,conf_low_raw,conf_high_raw,N,event_count_sample_mean,centered_mean_check,marginal_effect,std_error,conf_low,conf_high,return_unit,inference
Actor1,prediction,0.1,0.1,937.4000000000001,-876.6946372239747,0.001200906582808821,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.1200906582808821,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.1,0.25,1108,-706.0946372239748,0.001114329205278865,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.11143292052788649,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.1,0.5,1413,-401.0946372239748,9.595454998472318e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.09595454998472318,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.1,0.75,2139,324.9053627760252,5.911095321640653e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.05911095321640653,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.1,0.9,3174.800000000001,1360.7053627760263,6.545391876706247e-5,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.006545391876706247,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.15000000000000002,0.1,937.4000000000001,-876.6946372239747,3.0520710873037127e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.030520710873037128,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.15000000000000002,0.25,1108,-706.0946372239748,1.9591061950822688e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.019591061950822688,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.15000000000000002,0.5,1413,-401.0946372239748,5.095104065033491e-7,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,5.095104065033491e-5,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.15000000000000002,0.75,2139,324.9053627760252,-4.6460919519300916e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.04646091951930092,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.15000000000000002,0.9,3174.800000000001,1360.7053627760263,-0.0011282041748899452,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.11282041748899452,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.2,0.1,937.4000000000001,-876.6946372239747,9.388596807168557e-5,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,0.009388596807168557,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.2,0.25,1108,-706.0946372239748,-2.6675784159294774e-5,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.0026675784159294774,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.2,0.5,1413,-401.0946372239748,-2.4221701763203242e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.024221701763203242,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.2,0.75,2139,324.9053627760252,-7.552758225540243e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.07552758225540243,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.2,0.9,3174.800000000001,1360.7053627760263,-0.0014872679852788173,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.14872679852788173,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.25,0.1,937.4000000000001,-876.6946372239747,-2.6953993604214338e-5,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.002695399360421434,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.25,0.25,1108,-706.0946372239748,-1.1405590140489848e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.011405590140489849,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.25,0.5,1413,-401.0946372239748,-2.6977736611303845e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.026977736611303843,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.25,0.75,2139,324.9053627760252,-6.404455083363487e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.06404455083363488,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.25,0.9,3174.800000000001,1360.7053627760263,-0.00116928581372878,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.11692858137287801,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.3,0.1,937.4000000000001,-876.6946372239747,-8.993005254595435e-5,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.008993005254595435,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.3,0.25,1108,-706.0946372239748,-1.9254517790025797e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.019254517790025797,NA,NA,NA,percent,bootstrap_xy_R500
Actor1,prediction,0.3,0.5,1413,-401.0946372239748,-3.760012929826883e-4,NA,NA,NA,1585,1814.0946372239748,-6.240588137383848e-14,-0.03760012929826883,NA,NA,NA,percent,bootstrap_xy_R500
